@W: CS222 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\SRL16E.v":48:4:48:10|Ignoring specify block
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":63:0:63:5|Optimizing register bit r_read_seq[5] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":63:0:63:5|Optimizing register bit r_read_seq[6] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":63:0:63:5|Optimizing register bit r_read_seq[7] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL279 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":63:0:63:5|Pruning register bits 7 to 4 of r_read_seq[7:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL169 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":50:0:50:5|Pruning unused register ri_ready. Make sure that there are no unused intermediate registers.
@W: CL246 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":13:32:13:37|Input port bits 31 to 20 of i_data[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":13:32:13:37|Input port bits 3 to 0 of i_data[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL177 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Sharing sequential element ro_valid. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL260 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Pruning register bit 27 of ro_cmd[27:26]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL246 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":14:32:14:37|Input port bits 31 to 20 of i_data[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":14:32:14:37|Input port bits 11 to 0 of i_data[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL157 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":17:29:17:35|*Output o_state has undriven bits; assigning undriven bits to 0.  Simulation mismatch possible. Assign all bits of the output.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\communication_2M.v":271:0:271:5|Optimizing register bit count_clk384[9] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\communication_2M.v":271:0:271:5|Optimizing register bit count_clk384[10] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\communication_2M.v":271:0:271:5|Optimizing register bit count_clk384[11] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL279 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\communication_2M.v":271:0:271:5|Pruning register bits 11 to 9 of count_clk384[11:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.

